loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_entropy,eval_num_tokens,eval_mean_token_accuracy
0.2471,0.3262,0.000178,0.2481,5.084e+05,0.9275,0.1099,,,,,,,
0.2791,0.3691,0.0001778,0.2579,5.13e+05,0.9166,0.111,,,,,,,
,,,,,,0.111,0.2887,101.3,42.7,5.34,0.2874,5.13e+05,0.9128
0.243,0.3242,0.0001776,0.2403,5.176e+05,0.9271,0.112,,,,,,,
0.2702,0.498,0.0001774,0.2683,5.223e+05,0.9207,0.113,,,,,,,
,,,,,,0.113,0.2882,102.2,42.32,5.293,0.2978,5.223e+05,0.9127
0.4161,0.875,0.0001772,0.3578,5.278e+05,0.8936,0.114,,,,,,,
0.2611,0.4258,0.000177,0.2521,5.325e+05,0.9231,0.1151,,,,,,,
,,,,,,0.1151,0.2874,91.56,47.25,5.908,0.2812,5.325e+05,0.9135
0.232,0.377,0.0001768,0.2303,5.37e+05,0.9297,0.1161,,,,,,,
0.281,0.416,0.0001766,0.256,5.416e+05,0.9192,0.1171,,,,,,,
,,,,,,0.1171,0.2883,83.42,51.86,6.485,0.2794,5.416e+05,0.9124
0.284,0.4258,0.0001764,0.2787,5.463e+05,0.9156,0.1182,,,,,,,
0.265,0.9883,0.0001762,0.2518,5.509e+05,0.9214,0.1192,,,,,,,
,,,,,,0.1192,0.2879,84.09,51.44,6.434,0.2954,5.509e+05,0.9134
0.2778,0.3066,0.000176,0.2588,5.555e+05,0.924,0.1202,,,,,,,
0.2952,0.5469,0.0001758,0.2743,5.605e+05,0.9174,0.1212,,,,,,,
,,,,,,0.1212,0.2872,83.16,52.02,6.506,0.2787,5.605e+05,0.9139
0.3231,0.5312,0.0001756,0.2892,5.655e+05,0.9101,0.1223,,,,,,,
0.3636,0.498,0.0001754,0.308,5.707e+05,0.9086,0.1233,,,,,,,
,,,,,,0.1233,0.2862,83.06,52.08,6.513,0.3086,5.707e+05,0.9135
0.3465,0.6133,0.0001752,0.3293,5.757e+05,0.9057,0.1243,,,,,,,
0.3198,0.5312,0.000175,0.2897,5.805e+05,0.9056,0.1253,,,,,,,
,,,,,,0.1253,0.2847,84.68,51.09,6.389,0.279,5.805e+05,0.9137
0.2597,0.4629,0.0001747,0.2538,5.854e+05,0.9251,0.1264,,,,,,,
0.304,0.4512,0.0001745,0.2802,5.901e+05,0.9151,0.1274,,,,,,,
,,,,,,0.1274,0.2846,83.55,51.78,6.475,0.2869,5.901e+05,0.914
0.2903,0.5391,0.0001743,0.2808,5.949e+05,0.9131,0.1284,,,,,,,
0.3108,0.3672,0.0001741,0.2965,5.997e+05,0.9115,0.1295,,,,,,,
,,,,,,0.1295,0.286,83.57,51.76,6.473,0.287,5.997e+05,0.9138
0.2733,0.3125,0.0001739,0.2738,6.045e+05,0.9155,0.1305,,,,,,,
0.2986,0.543,0.0001737,0.2829,6.094e+05,0.9135,0.1315,,,,,,,
,,,,,,0.1315,0.285,88.15,49.07,6.137,0.2749,6.094e+05,0.914
0.2411,0.5312,0.0001735,0.2277,6.14e+05,0.9243,0.1325,,,,,,,
0.2617,0.459,0.0001733,0.2562,6.188e+05,0.9229,0.1336,,,,,,,
,,,,,,0.1336,0.2874,84.31,51.31,6.417,0.2914,6.188e+05,0.9137
0.2648,0.4219,0.0001731,0.2692,6.234e+05,0.9199,0.1346,,,,,,,
0.2814,0.3828,0.0001729,0.2721,6.282e+05,0.9181,0.1356,,,,,,,
